Author,Year,Month,Effect,P-value,n,Power,,Comparison,Stimuli,Emotion,Presentation,Task,Contrast,At Rest,Hemisphere,Method,Sample,Ancestry,Age,MF,HWE
Friedel et al.28 controls,2009,4,-0.629,0.144,21,14,10,Negative-Neutral,Pictures,Negative,Unmasked,Passive,Neutral Image,No,Right,fMRI,Control,NA,38,71,Y
Friedel et al.28 patients,2009,4,0.657,0.166,21,14,10,Negative-Neutral,Pictures,Negative,Unmasked,Passive,Neutral Image,No,Right,fMRI,Patient,NA,40,76,Y
Furmark et al.30 controls,2009,1,0.799,0.088,18,13,9,Angry-Neutral,Faces,Anger,Unmasked,Incidental,Neutral Image,No,Right,PET,Control,European,38,50,N
Furmark et al.30 patients,2009,1,0.358,0.29,34,20,14,Angry-Neutral,Faces,Anger,Unmasked,Incidental,Neutral Image,No,Right,PET,Patient,European,35,59,N
Shah et al.33 controls,2009,4,-0.114,0.715,48,23,15,Fearful-Fixation,Faces,Fear,Unmasked,Incidental,Fixation,No,Right,fMRI,Control,Other,28,42,Y
Shah et al.33 patients,2009,4,-0.25,0.509,30,17,12,Fearful-Fixation,Faces,Fear,Unmasked,Incidental,Fixation,No,Right,fMRI,Patient,Other,32,33,Y
Dannlowski et al.38,2010,2,0.35,0.266,44,23,15,Sadness-Fixation,Faces,Sadness,Masked,Implicit,Fixation,No,Right,fMRI,Control,Other,30,57,Y
Viviani et al.43,2010,2,0.002,0.99,183,77,52,Other (resting state ASL),NA,NA,NA,NA,NA,Yes,Right,Perfusion MR,Control,European,25,49,Y
Gillihan et al.41,2010,3,0.297,0.406,30,19,12,Other (resting state ASL),NA,NA,NA,NA,NA,No,Right,Perfusion MR,Control,European,20,53,N
Schardt et al.42,2010,11,0.919,0.007,37,22,14,Fear-Neutral,Pictures,Fear,Unmasked,Passive,Fixation,No,Right,fMRI,Control,European,23,0,N
Brockmann et al.37,2011,4,0.666,0.005,89,40,25,Other (SPECT),NA,NA,NA,NA,NA,Yes,Right,SPECT,Patient,European,45,35,Y
OÕNions et al.45,2011,5,0.098,0.782,30,19,12,Fearful-Neutral,Faces,Fear,Unmasked,Incidental,Fixation,No,Right,fMRI,Control,European,27,57,N
von dem Hagen et al.44,2011,3,0.576,0.026,62,34,21,Negative-Fixation,Faces,Anger,Unmasked,Incidental,Fixation,No,Right,fMRI,Control,European,31,34,Y
Murphy,NA,NA,0.249,0.437,48,23,15,Fearful-Fixation,Faces,Fear,Unmasked,Incidental,Fixation,No,Right,fMRI,Control,European,21,48,Y
Anderson controls,NA,NA,-1.295,0.001,34,20,13,Fearful-Neutral,Faces,Fear,Unmasked,Incidental,Neutral Image,No,Right,fMRI,Control,European,32,32,Y
Anderson patients,NA,NA,-0.626,0.134,27,15,11,Fearful-Neutral,Faces,Fear,Unmasked,Incidental,Neutral Image,No,Right,fMRI,Patient,European,33,22,Y
Mannie,NA,NA,-0.053,0.858,45,25,16,Fearful-Shape,Faces,Fear,Unmasked,Explicit,Shape,No,Right,fMRI,Control,European,19,53,Y
Taylor,NA,NA,-1.1817,<0.001,29,15,10,Negative-Shape,Faces,FearAnger,Unmasked,Explicit,Shape,No,NA,fMRI,Control,Other,21,NA,Y
